competition_name,season_name,match_id,match_date,player_id,player_name,team_id,team_name,position_name,total_events,shots,goals,xg,passes,completed_passes,pass_accuracy,progressive_passes,passes_into_final_third,key_passes,carries,progressive_carries,pressures,duels,duels_won,interceptions,clearances,blocks,dribbles,successful_dribbles,avg_x,avg_y,home_team,away_team,competition_stage,opponent_team,is_home_team,duel_success_rate,dribble_success_rate,xg_per_shot,xg_norm,shots_norm,goals_norm,key_passes_norm,progressive_passes_norm,passes_into_final_third_norm,progressive_carries_norm,pressures_norm,interceptions_norm,duel_success_rate_norm,dribble_success_rate_norm,total_events_norm,form_score,form_level
UEFA Euro,2024,3930166,2024-06-18,21226,Tomáš Chorý,912,Czech Republic,Left Center Forward,3,0,0,0.0,1,0,0.0,1,0,0,0,0,1,1,1,0,0,0,0,0,65.76666666666667,63.96666666666667,Portugal,Czech Republic,Group Stage,Portugal,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017543859649122806,0.0,0.0,0.02702702702702703,0.0,1.0,0.0,0.00477326968973747,4.310573731626363,low
UEFA Euro,2024,3930159,2024-06-15,7162,Ádám Nagy,916,Hungary,Right Defensive Midfield,136,0,0,0.0,44,37,0.8409090909090909,17,4,0,30,2,13,2,0,2,0,1,0,0,50.75629629629629,36.48,Hungary,Switzerland,Group Stage,Switzerland,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2982456140350877,0.12121212121212122,0.08695652173913043,0.35135135135135137,0.25,0.0,0.0,0.3221957040572792,7.040925677081284,low
UEFA Euro,2024,3930159,2024-06-15,21209,Dominik Szoboszlai,916,Hungary,Left Attacking Midfield,172,0,0,0.0,52,42,0.8076923076923077,13,10,1,31,1,27,2,0,0,1,4,2,1,65.38953488372094,19.511627906976752,Hungary,Switzerland,Group Stage,Switzerland,1,0.0,0.5,0.0,0.0,0.0,0.0,0.14285714285714285,0.22807017543859648,0.30303030303030304,0.043478260869565216,0.7297297297297297,0.0,0.0,0.5,0.4081145584725537,11.220899433714079,low
UEFA Euro,2024,3930159,2024-06-15,46376,Attila Szalai,916,Hungary,Left Center Back,157,1,0,0.09601528,52,43,0.8269230769230769,24,6,0,30,1,13,2,1,3,3,2,0,0,49.12564102564103,16.418589743589745,Hungary,Switzerland,Group Stage,Switzerland,1,0.5,0.0,0.09601528,0.049253748971283,0.1111111111111111,0.0,0.0,0.42105263157894735,0.18181818181818182,0.043478260869565216,0.35135135135135137,0.375,0.5,0.0,0.3723150357995227,13.066654903986848,low
UEFA Euro,2024,3930159,2024-06-15,19316,Roland Sallai,916,Hungary,Right Attacking Midfield,150,2,0,0.128965874,36,29,0.8055555555555556,9,5,1,36,7,12,3,0,0,0,1,2,2,72.21013513513512,26.664864864864878,Hungary,Switzerland,Group Stage,Switzerland,1,0.0,1.0,0.064482937,0.06615668655924467,0.2222222222222222,0.0,0.14285714285714285,0.15789473684210525,0.15151515151515152,0.30434782608695654,0.32432432432432434,0.0,0.0,1.0,0.3556085918854415,15.697638171088851,low
UEFA Euro,2024,3930159,2024-06-15,16016,Michel Aebischer,773,Switzerland,Left Wing Back,168,1,1,0.03557817,56,48,0.8571428571428571,18,5,1,37,1,14,3,0,1,1,2,0,0,61.795238095238076,13.804166666666674,Hungary,Switzerland,Group Stage,Hungary,0,0.0,0.0,0.03557817,0.018250826889612066,0.1111111111111111,0.5,0.14285714285714285,0.3157894736842105,0.15151515151515152,0.043478260869565216,0.3783783783783784,0.125,0.0,0.0,0.39856801909307876,17.15114168518912,low
UEFA Euro,2024,3930159,2024-06-15,3500,Granit Xhaka,773,Switzerland,Left Defensive Midfield,261,1,0,0.044237033,87,79,0.9080459770114943,22,11,4,67,4,14,3,0,1,1,2,0,0,60.00689655172419,34.7655172413793,Hungary,Switzerland,Group Stage,Hungary,0,0.0,0.0,0.044237033,0.022692635157824485,0.1111111111111111,0.0,0.5714285714285714,0.38596491228070173,0.3333333333333333,0.17391304347826086,0.3783783783783784,0.125,0.0,0.0,0.6205250596658711,16.7022247335341,low
UEFA Euro,2024,3930159,2024-06-15,6983,Remo Freuler,773,Switzerland,Right Defensive Midfield,149,0,0,0.0,42,41,0.9761904761904762,5,4,0,31,3,20,0,0,1,1,2,0,0,65.13108108108105,50.1385135135135,Hungary,Switzerland,Group Stage,Hungary,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08771929824561403,0.12121212121212122,0.13043478260869565,0.5405405405405406,0.125,0.0,0.0,0.3532219570405728,5.729434552089014,low
UEFA Euro,2024,3930159,2024-06-15,42822,András Schäfer,916,Hungary,Left Defensive Midfield,173,0,0,0.0,49,46,0.9387755102040817,10,3,0,38,4,21,4,1,0,1,2,3,2,55.955491329479784,31.97398843930638,Hungary,Switzerland,Group Stage,Switzerland,1,0.25,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.17543859649122806,0.09090909090909091,0.17391304347826086,0.5675675675675675,0.0,0.25,0.6666666666666666,0.4105011933174224,10.104740271788327,low
UEFA Euro,2024,3930159,2024-06-15,3153,Ádám Lang,916,Hungary,Right Center Back,48,0,0,0.0,19,13,0.6842105263157895,9,4,0,7,0,5,1,0,2,2,1,0,0,42.75744680851062,68.18936170212766,Hungary,Switzerland,Group Stage,Switzerland,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15789473684210525,0.12121212121212122,0.0,0.13513513513513514,0.25,0.0,0.0,0.11217183770883055,3.860683650157334,low
